coleta_local,barragem,medida_em,percent_use,vertido,comportas,montante_local_m,detalhe
2026-08-28 22:19,Barragem Oeste Taió,28/08 22:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 22:19,Barragem Sul Ituporanga,28/08 22:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 22:30,Barragem Oeste Taió,28/08 22:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 22:30,Barragem Sul Ituporanga,28/08 22:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 22:48,Barragem Oeste Taió,28/08 22:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 22:48,Barragem Sul Ituporanga,28/08 22:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 23:00,Barragem Oeste Taió,28/08 22:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 23:00,Barragem Sul Ituporanga,28/08 22:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 23:19,Barragem Oeste Taió,28/08 23:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 23:19,Barragem Sul Ituporanga,28/08 23:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 23:30,Barragem Oeste Taió,28/08 23:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 23:30,Barragem Sul Ituporanga,28/08 23:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 23:49,Barragem Oeste Taió,28/08 23:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 23:49,Barragem Sul Ituporanga,28/08 23:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 00:00,Barragem Oeste Taió,28/08 23:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 00:00,Barragem Sul Ituporanga,28/08 23:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 00:19,Barragem Oeste Taió,29/08 00:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 00:19,Barragem Sul Ituporanga,29/08 00:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 00:30,Barragem Oeste Taió,29/08 00:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
